old_android_key,android_key,en_value,ios_key,ios_en_value,confidence,status,candidates,manual_target
transaction_history_paid,swapStatus_paid,Paid,swapStatus.paid,Paid,1.00,MIGRATED_P1,,
transaction_detail_paying,swapStatus_paying,Paying,swapStatus.paying,Paying,1.00,MIGRATED_P1,,
transaction_history_payment_expired,swapStatus_paymentExpired,Payment Expired,swapStatus.paymentExpired,Payment Expired,1.00,MIGRATED_P1,,
transaction_history_payment_failed,swapStatus_paymentFailed,Payment Failed,swapStatus.paymentFailed,Payment Failed,1.00,MIGRATED_P1,,
transaction_detail_pay_incomplete,swapStatus_paymentIncomplete,Payment Incomplete,swapStatus.paymentIncomplete,Payment Incomplete,1.00,MIGRATED_P1,,
transaction_history_payment_refunded,swapStatus_paymentRefunded,Payment Refunded,swapStatus.paymentRefunded,Payment Refunded,1.00,MIGRATED_P1,,
swap_detail_title_swap_expired | transaction_history_swap_expired,swapStatus_swapExpired,Swap Expired,swapStatus.swapExpired,Swap Expired,1.00,MIGRATED_P2,,
swap_detail_title_swap_failed | transaction_history_swap_failed,swapStatus_swapFailed,Swap Failed,swapStatus.swapFailed,Swap Failed,1.00,MIGRATED_P2,,
swap_detail_incomplete,swapStatus_swapIncomplete,Swap Incomplete,swapStatus.swapIncomplete,Swap Incomplete,1.00,MIGRATED_P2,,
swap_detail_title_swap_refunded | transaction_history_swap_refunded,swapStatus_swapRefunded,Swap Refunded,swapStatus.swapRefunded,Swap Refunded,1.00,MIGRATED_P2,,
swap_detail_title_swap_completed | transaction_history_swapped,swapStatus_swapped,Swapped,swapStatus.swapped,Swapped,1.00,MIGRATED_P2,,
swap_detail_title_swap_pending | transaction_detail_swapping,swapStatus_swapping,Swapping,swapStatus.swapping,Swapping,1.00,MIGRATED_P2,,
swap_confirmation_subtitle,swapToZec_deposit,Deposit Amount,swapToZec.deposit,Deposit Amount,1.00,MIGRATED_P1,,
swap_detail_row_deposit_to,swapToZec_depositTo,Deposit to,swapToZec.depositTo,Deposit to,1.00,MIGRATED_P1,,
swap_to_zec_footer_bold,swapToZec_info2,%s on %s,swapToZec.info2,%@ on %@,1.00,MIGRATED_P1,,
swap_refund_address,swapToZec_refundAddress,Refund Address,swapToZec.refundAddress,Refund Address,1.00,MIGRATED_P2,,
swap_refund_address_info_title,swapToZec_refundAddress_title,Refund Address,swapToZec.refundAddress.title,Refund Address,1.00,MIGRATED_P2,,
swap_quote_review,swapToZec_review,Review Quote,swapToZec.review,Review Quote,1.00,MIGRATED_P1,,
swap_confirmation_primary_button,swapToZec_sentTheFunds,I’ve sent the funds,swapToZec.sentTheFunds,I’ve sent the funds,1.00,MIGRATED_P1,,
general_share_qr,swapToZec_shareQR,Share QR,swapToZec.shareQR,Share QR,1.00,MIGRATED_P1,,
swap_detail_row_header,swapToZec_swapDetails,Swap Details,swapToZec.swapDetails,Swap Details,1.00,MIGRATED_P1,,
swap_detail_title_swap_processing,swapToZec_swapProcessing,Swap processing,swapToZec.swapProcessing,Swap Processing,1.00,MIGRATED_P2,,
swap_cancel_positive,,Don\’t cancel,,,,TODO,,
swap_info_message,,"Swap %1$s with any NEAR-supported token.\n\nIf swapping TO %2$s, you will send funds from a 3rd party wallet and provide an address where change can be refunded.\n\nIf swapping FROM %3$s, you must provide a valid address for the asset you are swapping to.",,,,TODO,,
swap_quote_error_getting_quote,swap_quoteUnavailable,We tried but couldn\’t get a quote for a payment with your parameters. You can try to adjust the slippage or try again later.,swap.quoteUnavailable,We tried but couldn’t get a quote for a payment with your parameters. You can try to adjust the slippage or try again later.,1.00,MIGRATED_P1,,
swap_quote_error_getting_quote_swap,swap_quoteUnavailableSwap,We tried but couldn\’t get a quote for a swap with your parameters. You can try to adjust the slippage or try again later.,swap.quoteUnavailableSwap,We tried but couldn’t get a quote for a swap with your parameters. You can try to adjust the slippage or try again later.,1.00,MIGRATED_P1,,
swap_quote_error_too_low_try_at_least,,"Amount is too low for bridge, try at least %s",,,,TODO,,
swap_quote_error_too_low_try_higher,,"Amount is too low for bridge, try higher amount.",,,,TODO,,
swap_refund_address_info_message,,"If the swap fails or market conditions change, your transaction may be refunded minus the transaction fees.\n\nThe refunded amount will be returned to your wallet in the source currency - %s on %s. Please enter a valid address to avoid loss of funds.",,,,TODO,,
swap_refund_address_info_message_empty,,"If the swap fails or market conditions change, your transaction may be refunded minus the transaction fees.\n\nThe refunded amount will be returned to your wallet in the source currency. Please enter a valid address to avoid loss of funds.",,,,TODO,,
swap_select_token,,Select Token,,,,TODO,,
swap_slippage_info,,You may receive up to %s less than quoted.,,,,TODO,,
swap_slippage_low_warning,,"Slippage %1$s increases the chance your swap will be unsuccessful and refunded. Consider using %2$s, especially for larger amounts.",,,,TODO,,
swap_slippage_low_warning_1,,under %s%%,,,,TODO,,
swap_slippage_low_warning_2,,%s%% or higher,,,,TODO,,
swap_slippage_max_threshold,,Please enter maximum slippage of 30%%.,,,,TODO,,
swap_to_zec_footer,,Use your %s wallet \n to deposit funds. Depositing other assets may result in loss of funds.,,,,TODO,,
swap_to_zec_share_text,,Deposit address for %1$s %2$s on %3$s swap to %4$s in Zodl,,,,TODO,,
swap_zec_exchange_rate,,1 %1$s = %2$s,,,,TODO,,
home_button_receive,tabs_receive,Receive,tabs.receive,Receive,1.00,MIGRATED_P1,,
home_button_send | payment_request_send_btn | send_confirmation_send_button | send_stage_send_title | support_send,tabs_send,Send,tabs.send,Send,1.00,MIGRATED_P2,,
tax_export_message,taxExport_desc,Download your %s transaction history from the previous calendar year in a .csv format.,taxExport.desc,Download your %@ transaction history from the previous calendar year in a .csv format.,1.00,MIGRATED_P2,,
tax_export_export_button,taxExport_download,Download,taxExport.download,Download,1.00,MIGRATED_P1,,
advanced_settings_tax | export_data_share_text | tax_export_subtitle,taxExport_taxFile,Export Tax File,taxExport.taxFile,Export Tax File,1.00,MIGRATED_P2,,
tax_export_title,taxExport_title,Data Export,taxExport.title,Data Export,1.00,MIGRATED_P2,,
tex_unsupported_step_1_description,texKeystone_step1_desc,Transfer ZEC to your Zodl shielded address,texKeystone.step1.desc,Transfer ZEC to your Zodl shielded address,1.00,MIGRATED_P1,,
tex_unsupported_step_1_title,texKeystone_step1_title,Send to Zodl first,texKeystone.step1.title,Send to Zodl first,1.00,MIGRATED_P1,,
tex_unsupported_step_2_description,texKeystone_step2_desc,"Once received in Zodl, send the tokens to your final TEX destination address",texKeystone.step2.desc,"Once received in Zodl, send the tokens to your final TEX destination address",1.00,MIGRATED_P1,,
tex_unsupported_step_2_title,texKeystone_step2_title,Send from Zodl to TEX address,texKeystone.step2.title,Send from Zodl to TEX address,1.00,MIGRATED_P1,,
tex_unsupported_title,texKeystone_title,Unsupported Address Type,texKeystone.title,Unsupported Address Type,1.00,MIGRATED_P1,,
tex_unsupported_description_part1,texKeystone_warn1,Keystone doesn\'t currently support transfers to Binance TEX addresses.,texKeystone.warn1,Keystone doesn't currently support transfers to Binance TEX addresses. ,1.00,MIGRATED_P1,,
tex_unsupported_description_part2,texKeystone_warn2,Please use the steps below to complete your transaction.,texKeystone.warn2,Please use the steps below to complete your transaction.,1.00,MIGRATED_P1,,
tex_unsupported_workaround_title,texKeystone_workaround,Workaround Steps,texKeystone.workaround,Workaround Steps,1.00,MIGRATED_P1,,
tex_unsupported_step_1_badge,,Step 1,,,,TODO,,
tex_unsupported_step_2_badge,,Step 2,,,,TODO,,
general_on,tokenOnChain,on,tokenOnChain,,1.00,MIGRATED_P1,,
tooltip_close_content_description,,Close tooltip,,,,TODO,,
exchange_rate_unavailable_subtitle,tooltip_exchangeRate_desc,"We tried but we couldn\’t refresh the exchange rate
        for you. Check your connection, relaunch the app, and we\’ll try again.",tooltip.exchangeRate.desc,"We tried but we couldn’t refresh the exchange rate for you. Check your connection, relaunch the app, and we’ll try again.",1.00,MIGRATED_P1,,
exchange_rate_unavailable_title,tooltip_exchangeRate_title,Exchange rate unavailable,tooltip.exchangeRate.title,Exchange rate unavailable,1.00,MIGRATED_P1,,
restore_tor_checkbox_subtitle,torSettingsSheet_desc,Routes your connection through the Tor network for enhanced anonymity and privacy protection.,torSettingsSheet.desc,Routes your connection through the Tor network for enhanced anonymity and privacy protection.,1.00,MIGRATED_P1,,
restore_tor_subtitle,torSettingsSheet_msg,"If Tor is available in your region, we recommend enabling it for enhanced privacy during wallet restoration. This step is completely optional.",torSettingsSheet.msg,"If Tor is available in your region, we recommend enabling it for enhanced privacy during wallet restoration. This step is completely optional.",1.00,MIGRATED_P1,,
home_message_tor_title | restore_tor_checkbox_title | restore_tor_title,torSettingsSheet_title,Enable Tor Protection,torSettingsSheet.title,Enable Tor Protection,1.00,MIGRATED_P2,,
error_tor_negative,torSetup_alert_disable,Disable,torSetup.alert.disable,Disable,1.00,MIGRATED_P2,,
error_tor_positive,torSetup_alert_dontDisable,Don’t disable,torSetup.alert.dontDisable,Don’t disable,1.00,MIGRATED_P1,,
error_tor_message,torSetup_alert_msg,"Tor connection issues detected. To improve performance, try disabling Tor. This will stop exchange rate updates. You can re-enable it later in Advanced Settings.",torSetup.alert.msg,"Tor connection issues detected. To improve performance, try disabling Tor. This will stop exchange rate updates. You can re-enable it later in Advanced Settings.",1.00,MIGRATED_P1,,
error_tor_title,torSetup_alert_title,Disable Tor?,torSetup.alert.title,Disable Tor?,1.00,MIGRATED_P1,,
exchange_rate_opt_in_option_title | exchange_rate_tor_opt_in_positive,torSetup_ccSheet_enable,Enable,torSetup.ccSheet.enable,Enable,1.00,MIGRATED_P2,,
exchange_rate_tor_opt_in_negative,torSetup_ccSheet_later,Do it later,torSetup.ccSheet.later,Do it later,1.00,MIGRATED_P1,,
exchange_rate_tor_opt_in_title,torSetup_ccSheet_title,Tor Required for Currency Conversion,torSetup.ccSheet.title,Tor Required for Currency Conversion,1.00,MIGRATED_P1,,
tor_settings_item_subtitle_2,torSetup_disableDesc,Don’t connect over Tor.,torSetup.disableDesc,Don’t connect over Tor.,1.00,MIGRATED_P1,,
tor_settings_item_subtitle_1,torSetup_enableDesc,Connect over Tor,torSetup.enableDesc,Connect over Tor.,1.00,MIGRATED_P1,,
crash_report_detail_opt_in | crash_reporting_opt_in_positive | tor_opt_in_btn,torSetup_learn_btnIn,Opt in,torSetup.learn.btnIn,Opt in,1.00,MIGRATED_P2,,
crash_report_detail_opt_out | crash_reporting_opt_in_negative | tor_opt_out_btn,torSetup_learn_btnOut,Opt out,torSetup.learn.btnOut,Opt out,1.00,MIGRATED_P2,,
tor_opt_in_item_subtitle_1,torSetup_option1_desc,Fetch exchange rates from third-party servers without revealing your IP address. (Only available with Tor enabled.),torSetup.option1.desc,Fetch exchange rates from third-party servers without revealing your IP address. (Only available with Tor enabled.),1.00,MIGRATED_P1,,
exchange_rate_opt_in_subtitle | tor_opt_in_item_title_1,torSetup_option1_title,Currency Conversion,torSetup.option1.title,Currency Conversion,1.00,MIGRATED_P2,,
tor_opt_in_item_subtitle_2,torSetup_option2_desc,Send and retrieve transaction data over Tor for added privacy.,torSetup.option2.desc,Send and retrieve transaction data over Tor for added privacy.,1.00,MIGRATED_P1,,
tor_opt_in_item_title_2,torSetup_option2_title,Transactions,torSetup.option2.title,Transactions,1.00,MIGRATED_P1,,
tor_opt_in_item_subtitle_3,torSetup_option3_desc,Access third-party APIs (e.g. NEAR) over Tor for added privacy.,torSetup.option3.desc,Access third-party APIs (e.g. NEAR) over Tor for added privacy.,1.00,MIGRATED_P1,,
integrations_title | settings_integrations | tor_opt_in_item_title_3,torSetup_option3_title,Integrations,torSetup.option3.title,Integrations,1.00,MIGRATED_P2,,
tor_settings_title,torSetup_title,Tor Protection,torSetup.title,Tor Protection,1.00,MIGRATED_P2,,
tor_settings_share_feedback,,Share feedback,,,,TODO,,
tor_settings_subtitle,,"Tor provides additional protections for your IP address. This feature uses
        Tor network to fetch exchange rates, send transactions, retrieve transaction data, and connect to third party
        APIs.\n\nIf Tor is permitted in your region, we recommend enabling it.",,,,TODO,,
transaction_detail_info_transaction_fee,transactionDetail_feeSummary,Fee,transactionDetail.feeSummary,Fee,1.00,MIGRATED_P2,,
transaction_detail_info_transaction_details,transactionHistory_details,Transaction Details,transactionHistory.details,Transaction Details,1.00,MIGRATED_P1,,
transaction_detail_memo_empty,transactionHistory_noMessage,No message,transactionHistory.noMessage,No Message,1.00,MIGRATED_P1,,
transaction_history_widget_empty_title,transactionHistory_nothingHere,"There’s nothing here, yet.",transactionHistory.nothingHere,"There’s nothing here, yet.",1.00,MIGRATED_P1,,
transaction_detail_pending,transactionHistory_pending,Pending,transactionHistory.pending,Pending,1.00,MIGRATED_P2,,
transaction_detail_save_address,transactionHistory_saveAddress,Save address,transactionHistory.saveAddress,Save address,1.00,MIGRATED_P1,,
transaction_history_widget_header_button,transactionHistory_seeAll,See All,transactionHistory.seeAll,See all,1.00,MIGRATED_P1,,
transaction_detail_send_again,transactionHistory_sendAgain,Send again,transactionHistory.sendAgain,Send again,1.00,MIGRATED_P1,,
transaction_detail_info_address,transactionHistory_sentTo,Sent to,transactionHistory.sentTo,Sent to,1.00,MIGRATED_P1,,
transaction_detail_info_timestamp,transactionHistory_timestamp,Timestamp,transactionHistory.timestamp,Timestamp,1.00,MIGRATED_P1,,
transaction_detail_memo_view_less,transactionHistory_viewLess,View less,transactionHistory.viewLess,View less,1.00,MIGRATED_P2,,
transaction_detail_memo_view_more,transactionHistory_viewMore,View more,transactionHistory.viewMore,View more,1.00,MIGRATED_P2,,
transaction_detail_info_transaction_id,transactionList_transactionId,Transaction ID,transactionList.transactionId,Transaction ID,1.00,MIGRATED_P2,,
transaction_detail_edit_note,,Edit note,,,,TODO,,
transaction_detail_fee_minimal,,< 0.001 %s,,,,TODO,,
transaction_detail_info_incomplete_deposit_message,,"Deposit an additional %1$s to complete this swap before %2$s, or your deposit will be refunded.",,,,TODO,,
transaction_detail_support_email_body,,Please describe your issue here:\n\n\n\nSwap Details:\nDeposit Address: %1$s\nSource Asset: %2$s\nTarget Asset: %3$s,,,,TODO,,
transaction_detail_support_email_subject,,Swap Transaction Issue,,,,TODO,,
transaction_detail_receive_failed,transaction_failedReceive,Receive failed,transaction.failedReceive,Receive failed,1.00,MIGRATED_P1,,
send_confirmation_failure_title | send_confirmation_multiple_trx_failure_title | transaction_detail_send_failed,transaction_failedSend,Send Failed,transaction.failedSend,Send failed,1.00,MIGRATED_P2,,
transaction_detail_shielding_failed | transaction_history_shielding_failed,transaction_failedShieldedFunds,Shielding failed,transaction.failedShieldedFunds,Shielding Failed,1.00,MIGRATED_P2,,
transaction_filters_unread,,Unread,,,,TODO,,
transaction_history_minus,,- %1$s %2$s,,,,TODO,,
transaction_history_paying,,Paying…,,,,TODO,,
transaction_history_plus,,%1$s %2$s,,,,TODO,,
transaction_history_receiving,,Receiving…,,,,TODO,,
transaction_history_receiving_failed,,Receiving failed,,,,TODO,,
transaction_history_send_transaction,,Get some %s,,,,TODO,,
transaction_history_sending,,Sending…,,,,TODO,,
transaction_history_sending_failed,,Sending failed,,,,TODO,,
transaction_history_shielding,,Shielding…,,,,TODO,,
transaction_history_swapping,,Swapping…,,,,TODO,,
transaction_history_widget_empty_subtitle,,Make the first move…,,,,TODO,,
transaction_history_widget_send_transaction,,Send a transaction,,,,TODO,,
transaction_note_max_length,,%s/90 characters,,,,TODO,,
transaction_detail_received | transaction_history_received,transaction_received,Received,transaction.received,Received,1.00,MIGRATED_P2,,
transaction_detail_receiving,transaction_receiving,Receiving,transaction.receiving,Receiving,1.00,MIGRATED_P1,,
transaction_detail_sending,transaction_sending,Sending,transaction.sending,Sending,1.00,MIGRATED_P2,,
transaction_detail_sent | transaction_history_sent,transaction_sent,Sent,transaction.sent,Sent,1.00,MIGRATED_P2,,
transaction_detail_shielded | transaction_history_shielded,transaction_shieldedFunds,Shielded,transaction.shieldedFunds,Shielded,1.00,MIGRATED_P2,,
transaction_detail_shielding,transaction_shieldingFunds,Shielding,transaction.shieldingFunds,Shielding,1.00,MIGRATED_P2,,
triple_dots,,…,,,,TODO,,
unable_to_open_email,,Unable to launch email app.,,,,TODO,,
unable_to_open_play_store,,Unable to launch Google Play Store app…,,,,TODO,,
update_contact_title,,Contact,,,,TODO,,
update_description_available,,"There is a new version of Zodl that makes minor updates to
        improve performance and/or security.\n\nPlease take a moment to update to the latest version.",,,,TODO,,
update_description_required,,There is a required update\nfor Zodl that makes major improvements to\nperformance and/or security.,,,,TODO,,
update_download_button,,Update,,,,TODO,,
update_link_text,,Learn more about this update here.,,,,TODO,,
update_title_available,,Zodl here.,,,,TODO,,
vote_chain_config_add,,Add,,,,TODO,,
vote_chain_config_custom_empty,,No custom chains yet.,,,,TODO,,
vote_chain_config_error_duplicate_default,,That URL is the default source. Select Default instead.,,,,TODO,,
vote_chain_config_error_name_required,,Enter a title for this source.,,,,TODO,,
vote_chain_config_error_title,,Invalid Source,,,,TODO,,
vote_chain_config_error_url_required,,Enter a static config HTTPS URL.,,,,TODO,,
vote_chain_config_error_validation_failed,,"Unable to validate this source. Check the URL and checksum, then try again.",,,,TODO,,
vote_confirm_cta_preparing,,Preparing vote...,,,,TODO,,
vote_confirm_cta_resume_keystone_signing,,Resume Keystone signing,,,,TODO,,
vote_confirm_cta_sign_keystone,,Sign with Keystone,,,,TODO,,
vote_confirm_cta_submitting,,Submitting vote %1$d of %2$d,,,,TODO,,
vote_confirm_error_auth,,Authorization transaction failed. Please try again.,,,,TODO,,
vote_confirm_error_authentication,,Authentication failed. Please try again.,,,,TODO,,
vote_confirm_error_no_choices,,No vote choices are available to submit.,,,,TODO,,
vote_confirm_memo_preparing,,Your wallet is still preparing the voting authorization for this poll.,,,,TODO,,
vote_confirm_memo_resume_keystone,,"Resume the pending Keystone signing request, then continue signing the remaining delegation bundles.",,,,TODO,,
vote_confirm_memo_sign_keystone,,Sign each prepared delegation bundle with Keystone before submitting your votes.,,,,TODO,,
vote_confirm_preparing,,Preparing...,,,,TODO,,
vote_delegation_signing_cta,,Generate delegation proof,,,,TODO,,
vote_delegation_signing_cta_generating,,Generating...,,,,TODO,,
vote_delegation_signing_status_complete,,Proof complete - submitting delegation...,,,,TODO,,
vote_delegation_signing_status_generating,,Generating proof... %1$d%%,,,,TODO,,
vote_delegation_signing_status_ready,,Ready to generate zero-knowledge proof,,,,TODO,,
vote_delegation_signing_title,,Delegation signing,,,,TODO,,
vote_error_confirmation_unavailable_message,,Could not load poll details. Please try again.,,,,TODO,,
vote_error_confirmation_unavailable_title,,Confirmation unavailable,,,,TODO,,
vote_error_insufficient_funds_message,,You don\'t have enough ZEC to cover the transaction fee. Add funds to your wallet and try again.,,,,TODO,,
vote_error_mapper_insufficient_funds,,Insufficient funds to authorize your vote. A small fee is required.,,,,TODO,,
vote_error_mapper_network,,Network error. Please check your connection and try again.,,,,TODO,,
vote_error_mapper_pir_connection,,Could not connect to the privacy-preserving vote server. Please check your connection and try again.,,,,TODO,,
vote_error_mapper_unknown,,An unexpected error occurred. Please try again.,,,,TODO,,
vote_error_mapper_version,,Your app may need an update to participate in this voting round.,,,,TODO,,
vote_error_mapper_wallet_sync,,Your wallet is not fully synced. Please wait for syncing to complete before voting.,,,,TODO,,
vote_error_proposal_unavailable_message,,Could not load proposal. Please try again.,,,,TODO,,
vote_error_proposal_unavailable_title,,Proposal unavailable,,,,TODO,,
vote_error_results_unavailable_message,,Could not load voting results. Please try again.,,,,TODO,,
vote_error_something_went_wrong_message,,"We couldn\'t connect to the voting service. Please try again later, or contact support if the issue persists.",,,,TODO,,
vote_error_unable_to_load_polls_message,,Could not fetch voting rounds. Please try again.,,,,TODO,,
vote_error_unable_to_load_round_message,,Could not fetch voting round data. Please try again.,,,,TODO,,
vote_error_unable_to_load_round_title,,Unable to load round,,,,TODO,,
vote_error_voting_unavailable_message,,Could not load voting proposals. Please try again.,,,,TODO,,
vote_error_wallet_update_required,coinVote_configError_title,Wallet Update Required,coinVote.configError.title,Wallet Update Required,1.00,TODO,1.00:coinVote.configError.title,
vote_ineligible_balance_too_low,,"Your shielded voting weight at the snapshot block was %1$s ZEC, so this wallet is not eligible for this voting round.",,,,TODO,,
vote_ineligible_balance_too_low_at_snapshot,,"Your shielded voting weight at snapshot block #%1$s was %2$s ZEC, so this wallet is not eligible for this voting round.",,,,TODO,,
vote_ineligible_no_notes_at_snapshot,,Your wallet has no shielded notes from before snapshot block #%1$s. Only funds that existed at the snapshot block are eligible for this voting round.,,,,TODO,,
vote_ineligible_top_bar_title,,Voting Eligibility,,,,TODO,,
vote_proposal_detail_no_choices_message,,Select at least one answer before reviewing and submitting your vote.,,,,TODO,,
vote_proposal_list_meta_line,,%1$s  •  %2$s,,,,TODO,,
vote_proposal_list_time_day_left,,%1$d day left,,,,TODO,,
vote_proposal_list_time_days_left,,%1$d days left,,,,TODO,,
vote_proposal_list_time_hours_left,,%1$dh left,,,,TODO,,
vote_proposal_list_time_minutes_left,,%1$dm left,,,,TODO,,
vote_results_ended,,Ended %1$s,,,,TODO,,
vote_results_voted,coinVote_common_votedDate,Voted %1$s,coinVote.common.votedDate,Voted %@,1.00,TODO,1.00:coinVote.common.votedDate,
vote_wallet_syncing_message,,Your wallet needs to scan up to block %1$d before you can vote. Currently at block %2$d.,,,,TODO,,
vote_wallet_syncing_progress_complete,,100%% complete,,,,TODO,,
vote_wallet_syncing_progress_percent,,%1$d%% complete,,,,TODO,,
vote_wallet_syncing_status_complete,,Sync complete,,,,TODO,,
vote_wallet_syncing_status_progress,,%1$d%% - block %2$d of %3$d,,,,TODO,,
vote_wallet_syncing_title,,Syncing your wallet,,,,TODO,,
vote_wallet_syncing_top_bar_title,,Wallet Sync,,,,TODO,,
wbh_message,walletBirthdayHeightSubtitle,Entering your Wallet Birthday Height ensures we can display all your funds and transaction history correctly.,walletBirthdayHeightSubtitle,,1.00,MIGRATED_P1,,
disconnected_label_new,walletStatus_disconnected,Disconnected…,walletStatus.disconnected,DISCONNECTED…,1.00,MIGRATED_P1,,
restoring_wallet_label_new,walletStatus_restoringWallet,Restoring Your Wallet…,walletStatus.restoringWallet,RESTORING YOUR WALLET…,1.00,MIGRATED_P1,,
wallet_backup_title,,Wallet backup,,,,TODO,,
about_version_format | whats_new_version,whatsNew_version,Zodl Version %s,whatsNew.version,Zodl Version %@,1.00,MIGRATED_P2,,
whats_new_title,,What\'s new,,,,TODO,,
widget_balances_button_spendable,,Spendable,,,,TODO,,
zcash_logo_content_description,,Zcash logo,,,,TODO,,
zcash_token_taz,,TAZ,,,,TODO,,
zcash_token_zec,,ZEC,,,,TODO,,
request_amount_invalid,zecKeyboard_invalid,This transaction amount is invalid,zecKeyboard.invalid,This transaction amount is invalid.,1.00,MIGRATED_P1,,
